close,JUA_DONT_ASSERT_INSTANCEOF_IN_TESTS 8accf274ba10b7ed0a6659c7f34bb45d72d7c4ce src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java 1138 1138
unknown,UWF_UNWRITTEN_FIELD 30e6197284363df69fc6b3b2657b1af10d39284b src/main/java/org/apache/maven/plugin/dependency/TreeMojo.java 376 376
close,URF_UNREAD_FIELD b5f27dde0f4786740fb5a133faeed98dd9d0ad3e src/main/java/org/apache/commons/imaging/formats/jpeg/segments/DhtSegment.java 49 49
close,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR 75c8ade02e53bcf18ad85ed96586ad55d4fa9706 src/test/java/org/apache/commons/collections4/SetUtilsTest.java 225 225
close,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE c5751705d9e618971b63f0c0bcd6af84e79e6048 src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java 419 419
close,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD 5d417db78a71b6e090da40d6fb30518cc400c03c src/main/java/org/apache/maven/plugin/dependency/AbstractFromDependenciesMojo.java 68 68
close,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE 7196ab8588b0c4b79f64c4aeace875b989ade676 src/main/java/org/apache/maven/plugin/dependency/utils/DependencyUtil.java 94 94
unknown,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE a59a97456dffe24c8a4b04c2a63f05736b8b504c src/main/java/org/apache/maven/plugin/dependency/utils/markers/DefaultFileMarkerHandler.java 104 104
unknown,EI_EXPOSE_REP2 09f80c34d40bbe58754293bca0b981a740cda9f1 src/main/java/org/apache/commons/imaging/formats/jpeg/iptc/IptcBlock.java 30 30
close,DCN_NULLPOINTER_EXCEPTION 8accf274ba10b7ed0a6659c7f34bb45d72d7c4ce src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java 1078 1078
close,EI_EXPOSE_REP2 dc7b4335f2c9e814775b1391b01e3a46bb4e871b src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java 102 102
unknown,PZLA_PREFER_ZERO_LENGTH_ARRAYS 4df7f79f375ca5d92e0bf1c788cad59769153bcc src/main/java/org/apache/commons/imaging/formats/jpeg/JpegImageParser.java 365 365
unknown,UC_USELESS_CONDITION 8e9ddc7fda8934b4e9376bc7cff0271e7c35ab7a src/main/java/org/apache/commons/imaging/formats/png/chunks/PngChunkItxt.java 69 69
unknown,PZLA_PREFER_ZERO_LENGTH_ARRAYS 5b7b44724b2aadde6d23f827c7d4aec383e3a1cf src/main/java/org/apache/commons/imaging/formats/wbmp/WbmpImageParser.java 100 100
